#SingKingMilli!! One Million Subscriber Celebration|D|lGku1vbtlhE|#SingKingMilli!! One Million Subscriber Celebration  -D-lGku1vbtlhE.mkv
2 Chainz and Wiz Khalifa|We Own It|ZpyYGysTGHI|2 Chainz and Wiz Khalifa - We Own It (Karaoke Version)-ZpyYGysTGHI.mkv
5 Seconds Of Summer|Amnesia|0QA5RuYP22Y|5 Seconds Of Summer - Amnesia (Karaoke Version)-0QA5RuYP22Y.mkv
5 Seconds Of Summer|Beside You|O0Jq_xygFS0|5 Seconds Of Summer - Beside You (Karaoke Version)-O0Jq_xygFS0.mkv
5 Seconds Of Summer|Don't Stop|fyRdIzoUiqg|5 Seconds Of Summer - Don't Stop (Karaoke Version)-fyRdIzoUiqg.mkv
5 Seconds Of Summer|Good Girls|X3k7kLJ9p_I|5 Seconds Of Summer - Good Girls (Karaoke Version)-X3k7kLJ9p_I.mkv
5 Seconds Of Summer|Heartbreak Girl|uIJUBnf3sRU|5 Seconds Of Summer - Heartbreak Girl (Karaoke Version)-uIJUBnf3sRU.mkv
5 Seconds Of Summer|Hey Everybody!|xcfNqmchwdE|5 Seconds Of Summer - Hey Everybody! (Karaoke Version)-xcfNqmchwdE.mkv
5 Seconds Of Summer|Jet Black Heart|FNCc9ppGgcg|5 Seconds Of Summer - Jet Black Heart (Karaoke Version)-FNCc9ppGgcg.mkv
5 Seconds Of Summer|She Looks So Perfect|jvh8_c2-LWk|5 Seconds Of Summer - She Looks So Perfect (Karaoke Version)-jvh8_c2-LWk.mkv
5 Seconds Of Summer|She's Kinda Hot|Zl_we3nzBPY|5 Seconds Of Summer - She's Kinda Hot (Karaoke Version)-Zl_we3nzBPY.mkv
5 Seconds Of Summer|Voodoo Doll|fOMmJWmKkBk|5 Seconds Of Summer - Voodoo Doll (Karaoke Version)-fOMmJWmKkBk.mkv
5 Seconds Of Summer|What I Like About You|FOi-1F4jg5o|5 Seconds Of Summer - What I Like About You (Karaoke Version)-FOi-1F4jg5o.mkv
5 Seconds Of Summer and Scott Mills|Hearts Upon Our Sleeve (World Cup 2014 Karaoke Version)|Ohg5_yH0fQ8|5 Seconds Of Summer and Scott Mills - Hearts Upon Our Sleeve (World Cup 2014 Karaoke Version)-Ohg5_yH0fQ8.mkv
A Great Big World and Christina Aguilera|Say Something|UvLPE43l0YA|A Great Big World and Christina Aguilera - Say Something (Karaoke Version)-UvLPE43l0YA.mkv
A Great Big World ft. Futuristic|Hold Each Other|0qZwcoO-zEM|A Great Big World ft. Futuristic - Hold Each Other (Karaoke Version)-0qZwcoO-zEM.mkv
A Great Big World, Christina Aguilera|Say Something (Karaoke Version, No Backing Vocals)|DhQ46uh2vBU|A Great Big World, Christina Aguilera - Say Something (Karaoke Version, No Backing Vocals)-DhQ46uh2vBU.mkv
Adam Lambert ft. Laleh|Welcome To The Show|62dT3H0TcEQ|Adam Lambert ft. Laleh - Welcome To The Show (Karaoke Version)-62dT3H0TcEQ.mkv
Adele|Make You Feel My Love|x8SpSPBeeUE|Adele - Make You Feel My Love (Karaoke Version)-x8SpSPBeeUE.mkv
Adele|Rolling In The Deep|LOd3u6FtkAk|Adele - Rolling In The Deep (Karaoke Version)-LOd3u6FtkAk.mkv
Adele|Set Fire To The Rain|C02apNNsmeI|Adele - Set Fire To The Rain (Karaoke Version)-C02apNNsmeI.mkv
Adele|Someone Like You|BPRoNqB2XK8|Adele - Someone Like You (Karaoke Version)-BPRoNqB2XK8.mkv
Adele|Hello Karaoke Version(BY|SING KING KARAOKE)-q2UVTPlKZtQ|Adele-Hello Karaoke Version(BY -SING KING KARAOKE)-q2UVTPlKZtQ.mkv
Aerosmith|I Don't Want To Miss A Thing|s9Qc54Jp-6M|Aerosmith - I Don't Want To Miss A Thing (Karaoke Version)-s9Qc54Jp-6M.mkv
Afrojack and Spree|The Spark|gKXuYKQNA08|Afrojack and Spree - The Spark (Karaoke Version)-gKXuYKQNA08.mkv
